t	w1	w2	w3	w4
0.457	7.88290732	8.053742575	8.074211664	8.075719975
0.458	7.884535554	8.054035777	8.074241169	8.075720546
0.459	7.88615004	8.05432507	8.074270105	8.0757211
0.46	7.887750893	8.054610508	8.074298482	8.075721638
0.461	7.88933823	8.05489214	8.07432631	8.075722161
0.462	7.890912163	8.055170019	8.074353602	8.075722668
0.463	7.892472806	8.055444195	8.074380366	8.075723161
0.464	7.894020271	8.055714715	8.074406614	8.07572364
0.465	7.89555467	8.05598163	8.074432354	8.075724104
0.466	7.897076113	8.056244987	8.074457598	8.075724555
0.467	7.898584709	8.056504834	8.074482354	8.075724993
0.468	7.900080566	8.056761217	8.074506632	8.075725419
0.469	7.901563793	8.057014183	8.074530442	8.075725832
0.47	7.903034496	8.057263777	8.074553791	8.075726233
0.471	7.904492781	8.057510044	8.07457669	8.075726622
0.472	7.905938752	8.057753028	8.074599147	8.075727
0.473	7.907372514	8.057992774	8.07462117	8.075727367
0.474	7.908794169	8.058229325	8.074642767	8.075727724
0.475	7.910203821	8.058462722	8.074663948	8.07572807
0.476	7.911601569	8.058693008	8.074684719	8.075728406
0.477	7.912987515	8.058920225	8.07470509	8.075728732
0.478	7.914361759	8.059144413	8.074725067	8.075729049
0.479	7.915724399	8.059365613	8.074744659	8.075729356
0.48	7.917075533	8.059583864	8.074763872	8.075729655
0.481	7.918415258	8.059799207	8.074782714	8.075729945
0.482	7.919743671	8.060011679	8.074801192	8.075730226
0.483	7.921060867	8.060221319	8.074819313	8.0757305
0.484	7.922366941	8.060428165	8.074837085	8.075730765
0.485	7.923661986	8.060632253	8.074854513	8.075731023
0.486	7.924946097	8.060833622	8.074871605	8.075731273
0.487	7.926219365	8.061032306	8.074888367	8.075731516
0.488	7.927481882	8.061228342	8.074904805	8.075731752
0.489	7.928733738	8.061421765	8.074920926	8.075731981
0.49	7.929975024	8.061612609	8.074936735	8.075732204
0.491	7.931205829	8.06180091	8.074952239	8.07573242
